flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes_raw,overnight_flight,duration_minutes,route,flight_record_status
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,174.0,False,174.0,CCU-MAA,VALID
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,108.0,False,108.0,BOM-CCU,VALID
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,105.0,False,105.0,BOM-CCU,VALID
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,156.0,False,156.0,BOM-CCU,VALID
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,299.0,False,299.0,MAA-BOM,VALID
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,139.0,False,139.0,DEL-HYD,VALID
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,103.0,False,103.0,CCU-MAA,VALID
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,92.0,False,92.0,BOM-HYD,VALID
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,55.0,False,55.0,BLR-BOM,VALID
6F251,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,41.0,False,41.0,DEL-BLR,VALID
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,148.0,False,148.0,BOM-DEL,VALID
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,267.0,False,267.0,BOM-CCU,VALID
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,181.0,False,181.0,DEL-MAA,VALID
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,141.0,False,141.0,BOM-CCU,VALID
AI069,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,226.0,False,226.0,DEL-BOM,VALID
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,98.0,False,98.0,BOM-CCU,VALID
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,223.0,False,223.0,BOM-DEL,VALID
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,106.0,False,106.0,BOM-CCU,VALID
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,35.0,False,35.0,MAA-DEL,VALID
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,232.0,False,232.0,CCU-DEL,VALID
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,140.0,False,140.0,HYD-DEL,VALID
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,147.0,False,147.0,BLR-BOM,VALID
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,110.0,False,110.0,HYD-MAA,VALID
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,196.0,False,196.0,CCU-DEL,VALID
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,113.0,False,113.0,DEL-HYD,VALID
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,64.0,False,64.0,HYD-CCU,VALID
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,66.0,False,66.0,BLR-BOM,VALID
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,55.0,False,55.0,CCU-DEL,VALID
