booking_id,passenger_id,flight_id,booking_date,status,is_confirmed,airline,source,destination,route,departure_time,arrival_time,duration_minutes,overnight_flight,flight_record_status,flight_match_status,payment_amount,payment_rows,passenger_key,age_band,gender
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,False,Air India,MAA,BOM,MAA-BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,False,VALID,VALID,0.0,0,977c3154ed97450c,0-17,M
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,False,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,False,VALID,VALID,0.0,0,604c9afd067fac61,55+,F
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,False,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,False,VALID,VALID,0.0,0,906ea2a505d51fd4,55+,F
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,True,UNKNOWN,DEL,BOM,DEL-BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,False,VALID,VALID,18342.1,1,253e3decf26bba87,55+,M
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,False,UNKNOWN,HYD,DEL,HYD-DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,False,VALID,VALID,5071.9,3,f4133d1257c4df22,18-34,F
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,True,Air India,CCU,DEL,CCU-DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,False,VALID,VALID,24463.69,2,ccaeb9c55d66d792,35-54,F
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,False,VALID,VALID,0.0,0,a4df934159e17c6f,55+,M
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,True,Vistara,DEL,MAA,DEL-MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,False,VALID,VALID,20293.41,2,2fbfa19e0834526a,55+,M
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,False,VALID,VALID,5818.5,1,fe8378226aea284f,35-54,F
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,False,VALID,VALID,0.0,0,671275e88f80ab66,18-34,M
