route,source,destination,booking_count,average_duration_minutes,confirmed_bookings,payment_revenue
BOM-CCU,BOM,CCU,89,170.9,36,726134.35
CCU-DEL,CCU,DEL,74,152.2,22,609150.23
MAA-BLR,MAA,BLR,67,173.6,17,652560.33
BLR-BOM,BLR,BOM,64,151.2,21,433581.07
HYD-MAA,HYD,MAA,60,148.9,17,631863.49
DEL-HYD,DEL,HYD,55,173.4,18,475188.33
HYD-DEL,HYD,DEL,42,184.9,16,408670.61
BOM-DEL,BOM,DEL,39,153.3,17,317829.91
CCU-BOM,CCU,BOM,35,158.9,9,197162.53
DEL-BOM,DEL,BOM,33,181.6,11,259000.27
DEL-BLR,DEL,BLR,30,172.5,10,207182.04
BOM-MAA,BOM,MAA,28,183.3,7,332077.47
HYD-BLR,HYD,BLR,27,168.9,7,209841.86
HYD-BOM,HYD,BOM,27,154.6,15,282409.61
MAA-CCU,MAA,CCU,27,154.9,7,279205.69
HYD-CCU,HYD,CCU,27,169.2,11,279688.94
DEL-MAA,DEL,MAA,26,177.8,7,206893.79
BOM-BLR,BOM,BLR,26,175.0,4,199068.36
BOM-HYD,BOM,HYD,26,180.8,10,274331.07
DEL-CCU,DEL,CCU,25,150.2,5,150552.72
CCU-MAA,CCU,MAA,24,170.2,9,211760.77
MAA-DEL,MAA,DEL,24,152.4,12,297401.6
BLR-CCU,BLR,CCU,23,127.3,5,136974.92
CCU-HYD,CCU,HYD,22,152.1,8,159458.51
MAA-BOM,MAA,BOM,22,173.5,4,171248.5
CCU-BLR,CCU,BLR,21,161.0,4,162264.77
MAA-HYD,MAA,HYD,21,162.3,3,118011.68
BLR-HYD,BLR,HYD,20,153.4,10,196756.41
BLR-MAA,BLR,MAA,19,192.7,6,156989.58
BLR-DEL,BLR,DEL,17,159.1,6,138325.56
